State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.467,Southern Region
Andaman and Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.3,Southern Region
Andaman and Nicobar Islands,2018,1,Merchant payments,298,452507.1686,Southern Region
Andaman and Nicobar Islands,2018,1,Financial Services,33,10601.41993,Southern Region
Andaman and Nicobar Islands,2018,1,Others,256,184689.8663,Southern Region
Andaman and Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731,Southern Region
Andaman and Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.23,Southern Region
Andaman and Nicobar Islands,2018,2,Merchant payments,603,1024491.013,Southern Region
Andaman and Nicobar Islands,2018,2,Financial Services,59,121336.0271,Southern Region
Andaman and Nicobar Islands,2018,2,Others,368,359838.5054,Southern Region
Andaman and Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868,Southern Region
Andaman and Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.54,Southern Region
Andaman and Nicobar Islands,2018,3,Merchant payments,945,1627359.839,Southern Region
Andaman and Nicobar Islands,2018,3,Financial Services,42,1481.490704,Southern Region
Andaman and Nicobar Islands,2018,3,Others,194,314343.3941,Southern Region
Andaman and Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512,Southern Region
Andaman and Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.98,Southern Region
Andaman and Nicobar Islands,2018,4,Merchant payments,1421,3552027.735,Southern Region
Andaman and Nicobar Islands,2018,4,Financial Services,29,76035.78774,Southern Region
Andaman and Nicobar Islands,2018,4,Others,340,468266.0607,Southern Region
Andaman and Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.873,Southern Region
Andaman and Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.87,Southern Region
Andaman and Nicobar Islands,2019,1,Merchant payments,1759,3266589.847,Southern Region
Andaman and Nicobar Islands,2019,1,Financial Services,62,116250.4367,Southern Region
Andaman and Nicobar Islands,2019,1,Others,283,497094.6484,Southern Region
Andaman and Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256,Southern Region
Andaman and Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.7,Southern Region
Andaman and Nicobar Islands,2019,2,Merchant payments,4031,4702152.617,Southern Region
Andaman and Nicobar Islands,2019,2,Financial Services,124,113278.9137,Southern Region
Andaman and Nicobar Islands,2019,2,Others,377,671471.2226,Southern Region
